quote_part_1,quote_part_2,quote_part_3,quote_ref
"Comme disait le général de Gaulle,", nous sommes un pays judéo-chrétien de race blanche, et j’ai envie que la France reste la France.,"« Nous sommes un pays judéo-chrétien – le général de Gaulle le disait –, de race blanche, qui accueille des personnes étrangères. J’ai envie que la France reste la France. Je n’ai pas envie que la France devienne musulmane. »"
On a une recrudescence des nouvelles violences :," le vol des portables à l’arraché, ça n’existait pas", avant que les portables existent.,«On a une recrudescence des nouvelles violence... par exemple le vol des portables à l’arraché. Ca n’existait pas avant que les portables existent».
"J'ai des amis qui sont justement arabes,", ma meilleure amie est tchadienne, donc plus noire qu'une Arabe.,"Me faire passer pour quelqu'un qui serait raciste alors que j'ai des amis qui sont justement arabes, dont ma meilleure amie qui est tchadienne, donc plus noire qu'une Arabe... Je trouve ça choquant."
"Heureusement que nous,", on n'a pas quitté le pays pour fuir la guerre, en 39-45 ou en 14 !,"On dit ""Ils quittent leur pays, ils fuient la guerre... Heureusement qu'on n'a pas fait pareil, nous, en 39-45 ou en 14. "
Moi je trouve que,,", Marine Le Pen a beaucoup de talent.",Bon moi je trouve que Marine Le Pen a beaucoup de talent
Je raconte jamais de conneries :,, vous savez ?,"Moi, vous savez, je raconte jamais de conneries"
," la guerre, c'est moche",,“Scène de la terrible guerre de 14-18. La guerre c’est moche.”
"Je tape plus vite que mes doigts,",, mais je corrige aussi vite que ma pensée.,« Je tape plus vite que mes doigts mais je corrige aussi vite que ma pensée. »
"On n'est pas des racistes, nous,", on aime toutes les régions,"... Hum, il est bon, non ?","""On n'est pas des racistes, nous, on aime toutes les régions... Hum, il est bon, non ?"""
"Quand j'étais petite,"," à Noël, il y avait toujours des films sur la natalité",", je regrette qu'il n'y en ait plus.","Quand j'étais petite, à Noël, il y avait toujours des films sur la natalité à la télé. Je regrette qu'il n'y en ait plus."
"Je bulle,", dans un spa avec des copines,. Occupe-toi de ta femme un peu :-),Je bulle dans un spa avec des copines et toi tu tweet. Occupe-toi de ta femme un peu :-)
"Attention Christian,", Fillon te chie dans les bottes,,
, j'aime Renaud, sur certaines chansons. Pas toutes…,J'aime Renaud sur certaines chansons. Pas toutes…
, le problème d'image d'Eva Joly ne vient pas que de son accent,", c'est aussi physique.","«Le problème d'image d'Eva Joly ne vient pas que de son accent, c'est aussi physique."""
," les migrants, c'est la faute à la gauche",,"Les migrants, c'est la faute à la gauche"
"La pizza, je l’aime plutôt Regina, pas orientale. En revanche,", j’adore le couscous et les bricks à l’œuf, vous voyez ?,
, je suis sarkozyste, jusqu'au bout des globules.,
"Pour moi,"," il y a Napoléon, De Gaulle et Sarkozy",", le reste c'est peanuts.","« Qui lui arrive à la cheville ? Pour l'instant, personne. Pour moi, il y a Napoléon, De Gaulle et Sarkozy. Entre, c'est peanuts . »"
"Je ferai entendre ma voix,"," oui, je serai candidate", dans ce dispositif.,"« Je ferai entendre ma voix. Oui, je serai candidate dans ce dispositif. »"
, je parle avec le langage de la vérité, et les gens aiment ça.,Je parle avec le langage de la vérité et les gens aiment ça.
"Scène en Gare de l'Est à Paris,", je croise une femme avec une burqa à qui je demande de respecter la loi,", le mépris est total.","Scène en Gare de l'Est à Paris, je viens de croiser une femme avec une burqa à qui je demande de respecter la loi.. Son mépris est total"
, je ne veux pas que nos peuples baissent les yeux devant ces barbares, qu'il faut exterminer.,Je ne veux pas que nos peuples baissent les yeux devant ces barbares qu'il faut exterminer
"Je partage l'avis de Poutine,", pour abattre Daesh,", on ne peut pas se passer de Bachar Al Assad.",Je partage l'avis de Poutine pour abattre Daesh on ne peut pas se passer de Bachar Al Assad.
"Retour à l'hôtel,",,", et un jambon beurre, un !",Retour à l'hôtel et un jambon beurre un ! Régime de campagne mais je peux plus voir les chips en peinture overdose
"Régime de campagne,", mais je peux plus voir les chips en peinture,... overdose !,Retour à l'hôtel et un jambon beurre un ! Régime de campagne mais je peux plus voir les chips en peinture overdose
"Il n'y a pas de race, ", il faut donc supprimer les subventions, aux associations antiracistes.,"""S'il n'y a pas de race, il faut donc supprimer les subventions aux associations antiracistes"""